id,title,timestamp,previous_screen,user_action,next_screen,section,confidence,data_requested,free_or_premium,open_questions
004,#1 female OB-GYN recommended,00:09,None,"Observed Continue, selection, scroll, or navigation action.",006,User identification,High,Self/partner intent and pairing code state.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
006,User identification observed state,00:15,004,"Observed Continue, selection, scroll, or navigation action.",007,User identification,Medium,Self/partner intent and pairing code state.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
007,Welcome to Flo for Partners,00:18,006,"Observed Continue, selection, scroll, or navigation action.",008,Entry and brand introduction,High,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
008,Name entry,00:21,007,"Observed Continue, selection, scroll, or navigation action.",009,Entry and brand introduction,High,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
009,Entry and brand introduction observed state,00:24,008,"Observed Continue, selection, scroll, or navigation action.",010,Entry and brand introduction,Medium,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
010,Entry and brand introduction observed state,00:27,009,"Observed Continue, selection, scroll, or navigation action.",013,Entry and brand introduction,Medium,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
013,Entry and brand introduction observed state,00:39,010,"Observed Continue, selection, scroll, or navigation action.",014,Entry and brand introduction,Medium,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
014,Are you using Flo yourself? - Yes selected,00:42,013,"Observed Continue, selection, scroll, or navigation action.",015,Entry and brand introduction,High,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
015,Acquisition source,00:45,014,"Observed Continue, selection, scroll, or navigation action.",016,Entry and brand introduction,High,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
016,Birth year selector,00:57,015,"Observed Continue, selection, scroll, or navigation action.",017,Entry and brand introduction,High,"Name, birth year, and acquisition source appear in this section.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
017,Goal selection,01:00,016,"Observed Continue, selection, scroll, or navigation action.",018,Goal and intent selection,High,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
018,Goal and intent selection observed state,01:06,017,"Observed Continue, selection, scroll, or navigation action.",019,Goal and intent selection,Medium,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
019,Goal and intent selection observed state,01:15,018,"Observed Continue, selection, scroll, or navigation action.",020,Goal and intent selection,Medium,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
020,Flo is more than a period tracker,01:18,019,"Observed Continue, selection, scroll, or navigation action.",021,Goal and intent selection,High,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
021,Goal and intent selection observed state,01:24,020,"Observed Continue, selection, scroll, or navigation action.",022,Goal and intent selection,Medium,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
022,Goal confirmation,01:27,021,"Observed Continue, selection, scroll, or navigation action.",023,Goal and intent selection,High,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
023,7 million 5-star ratings,01:30,022,"Observed Continue, selection, scroll, or navigation action.",024,Trust building,High,"User goal, pregnancy intent, trying-to-conceive status, or partner context.",Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
024,Well-being battery introduction,01:33,023,"Observed Continue, selection, scroll, or navigation action.",025,Trust building,High,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
025,Cycle phase factor,01:36,024,"Observed Continue, selection, scroll, or navigation action.",026,Trust building,High,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
026,Trust building observed state,01:39,025,"Observed Continue, selection, scroll, or navigation action.",027,Trust building,Medium,No direct health data on some screens; trust/social proof/value education is shown.,Free observed / Premium status not observed,Does this answer change later branching? Exact downstream effect is not fully observed unless the next screen shows it.
