sourceId,title,sourceUrl,sourceType,accessedDate,documentedFeatures,relevantAppSection,evidenceStrength,notes
NC-SRC-001,Natural Cycles Birth Control,https://www.naturalcycles.com/birth-control,website,2026-07-15,FDA-cleared positioning; NC Birth Control mode; Red/Green daily status; subscription positioning,Brand + Regulatory Trust,Official marketing and product positioning,Use for brand/regulatory framing only; claims require citation when quoted.
NC-SRC-002,How NC Birth Control works,https://help.naturalcycles.com/hc/en-us/articles/11904213650205-How-NC-Birth-Control-works,help article,2026-07-15,Green Days; Red Days; daily checking behavior; learning-period behavior,Today: Red or Green Fertility Status,Official support documentation,Primary source for Red/Green behavioral interpretation.
NC-SRC-003,How to make the most of the app: App tour,https://help.naturalcycles.com/hc/en-us/articles/9209631867933-How-to-make-the-most-of-the-app-App-tour,help article,2026-07-15,Today tab; Add Data; Graph tab; Cycle Insights; Learn tab; Messages,Daily Product Navigation,Official support documentation with app screenshots,Strong source for app navigation and screen-level UI evidence.
NC-SRC-004,Why should I measure my temperature?,https://help.naturalcycles.com/hc/en-us/articles/360003289654-Why-should-I-measure-my-temperature,help article,2026-07-15,temperature data; ovulation detection; cycle phase logic,Daily Temperature Sync / Entry,Official support documentation,Primary explanation for why temperature is algorithmically important.
NC-SRC-005,What data does the algorithm use?,https://help.naturalcycles.com/hc/en-us/articles/360003338473-What-data-does-the-algorithm-use,help article,2026-07-15,algorithm data; temperature; period; ovulation tests; pregnancy tests; emergency contraception,Add Data,Official support documentation,Separates algorithm-impacting data from optional trackers.
NC-SRC-006,What Trackers are available?,https://help.naturalcycles.com/hc/en-us/articles/360003288654-What-Trackers-are-available,help article,2026-07-15,cervical mucus; sex drive; skin; pain; sleep; emotions; personal trackers,Trackers + Personal Patterns,Official support documentation,Use to distinguish personal pattern discovery from fertility-status calculation.
NC-SRC-007,What is Cycle Insights?,https://help.naturalcycles.com/hc/en-us/articles/1500003527502-What-is-Cycle-Insights,help article,2026-07-15,cycle length; period duration; ovulation day; follicular phase; luteal phase; trends,Cycle Insights + Trends,Official support documentation,Use for trends and longitudinal insight evidence.
NC-SRC-008,What is Partner View?,https://help.naturalcycles.com/hc/en-us/articles/360009136618-What-is-Partner-View,help article,2026-07-15,shared fertility status; selected shared trackers; partner notifications; definitions,Partner View,Official support documentation,Primary source for partner behavior.
NC-SRC-009,Natural Cycles on Oura Ring,https://www.naturalcycles.com/oura,device page,2026-07-15,Oura integration; temperature synchronization; device setup,Select Measuring Device,Official device integration page,Use for wearable ecosystem evidence.
NC-SRC-010,Natural Cycles with Apple Watch,https://www.naturalcycles.com/apple-watch,device page,2026-07-15,Apple Watch integration; wrist temperature; device setup,Select Measuring Device,Official device integration page,Use only where Apple Watch support is explicitly documented.
NC-SRC-011,Natural Cycles on Garmin,https://www.naturalcycles.com/garmin,device page,2026-07-15,Garmin integration; supported Garmin devices; temperature synchronization,Select Measuring Device,Official device integration page,Use for Garmin support only.
NC-SRC-012,Natural Cycles Privacy Policy,https://www.naturalcycles.com/privacy,website,2026-07-15,privacy; research consent; data handling; account deletion,"Settings, Privacy & Device Management",Official policy page,Use for privacy claims; avoid paraphrasing legal meaning too strongly.
NC-SRC-013,Natural Cycles Instructions for Use / User Manual,https://www.naturalcycles.com/user-manual,user manual,2026-07-15,intended use; mode-specific instructions; safety instructions; medical wording,Safety + Instructions,Official user manual,Use for safety wording and mode constraints; do not rewrite medical instructions.
NC-SRC-014,FDA: De Novo classification request for Natural Cycles,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN170052.pdf,regulatory document,2026-07-15,regulatory positioning; classification; contraceptive app context,Brand + Regulatory Trust,FDA regulatory documentation,"Use only for regulatory positioning, not UX flow reconstruction."
