id,order,title,section,modeShown,evidenceStatus,definitelyAppScreenshot,previousScreen,nextScreen,sourceEvidence,takeaway
NC-EXECUTIVE-SUMMARY-001,1,Executive Summary,Executive Summary,All modes,Official documentation,False,,002,Natural Cycles Birth Control; How NC Birth Control works; How to make the most of the app: App tour; Natural Cycles Instructions for Use / User Manual,Natural Cycles turns daily temperature and cycle data into one high-clarity fertility decision: Red or Green.
NC-SOURCES-002,2,Sources + Evidence Rules,Sources,All modes,Official documentation,False,001,003,Natural Cycles Birth Control; How NC Birth Control works; How to make the most of the app: App tour; Why should I measure my temperature?; What data does the algorithm use?; What Trackers are available?; What is Cycle Insights?; What is Partner View?; Natural Cycles on Oura Ring; Natural Cycles with Apple Watch; Natural Cycles on Garmin; Natural Cycles Privacy Policy; Natural Cycles Instructions for Use / User Manual; FDA: De Novo classification request for Natural Cycles,"This Natural Cycle analysis is reconstructed from official documentation, not direct Indian Android app access."
NC-JOURNEY-MAP-003,3,Complete Product Journey Map,Journey Map,All modes,Official documentation,False,002,004,Natural Cycles Birth Control; How NC Birth Control works; How to make the most of the app: App tour; Natural Cycles Instructions for Use / User Manual,"The full Natural Cycles journey is assembled from official evidence, not observed as one continuous captured flow."
NC-BRAND-REGULATORY-TRUST-004,4,Brand + Regulatory Trust,Brand + Regulatory Trust,NC Birth Control,Official documentation,False,003,005,Natural Cycles Birth Control; FDA: De Novo classification request for Natural Cycles,Natural Cycles builds trust through regulatory positioning before asking users to rely on the product daily.
NC-CHOOSE-PRIMARY-GOAL-MODE-005,5,Choose Primary Goal / Mode,Choose Primary Goal / Mode,All modes,Official documentation,False,004,006,Natural Cycles Birth Control; Natural Cycles Instructions for Use / User Manual,"Mode choice changes the user’s primary decision: avoid pregnancy, plan pregnancy, or understand pregnancy/cycle state."
NC-ELIGIBILITY-HEALTH-ASSESSMENT-006,6,Eligibility + Health Assessment,Eligibility & Health Assessment,NC Birth Control,Official documentation,False,005,007,Natural Cycles Instructions for Use / User Manual,"Safety-sensitive products need eligibility checks, but the UI evidence for exact screens remains incomplete."
NC-ACCOUNT-SUBSCRIPTION-007,7,Account + Subscription,Account + Subscription,All modes,Official documentation,False,006,008,Natural Cycles Birth Control,"Natural Cycles appears subscription-first, which may strengthen business value but adds access friction."
NC-SELECT-MEASURING-DEVICE-008,8,Select Measuring Device,Select Measuring Device,All modes,Official documentation,False,007,009,Natural Cycles on Oura Ring; Natural Cycles with Apple Watch; Natural Cycles on Garmin,Device selection is not a minor setting; it defines whether the user can reliably supply algorithm data.
NC-CONSENT-PERMISSIONS-009,9,Consent + Permissions,Consent & Permissions,All modes,Official documentation,False,008,010,Natural Cycles Privacy Policy; Natural Cycles Instructions for Use / User Manual,"Privacy and sensitive-data handling are part of the product experience, not just legal infrastructure."
NC-ALGORITHM-PROCESSING-010,10,Temperature Data → Algorithm → Fertility Status,Algorithm Processing,All modes,Official documentation,False,009,011,Why should I measure my temperature?; What data does the algorithm use?,Natural Cycles’ product value is not collecting temperature; it is interpreting temperature into a daily status.
NC-TODAY-RED-OR-GREEN-FERTILITY-STATUS-011,11,Today View: NC Birth Control,Today: Red or Green Fertility Status,NC Birth Control,Official screenshot,True,010,012,How to make the most of the app: App tour,The Today view centers the app around a single daily decision.
NC-TODAY-RED-OR-GREEN-FERTILITY-STATUS-012,12,Today View: Plan Pregnancy,Today: Red or Green Fertility Status,Plan Pregnancy,Official screenshot,True,011,013,How to make the most of the app: App tour,The same Today architecture can support a different user goal by changing the meaning of status.
NC-RED-GREEN-STATUS-013,13,Green Day vs Red Day,Red / Green Status,NC Birth Control,Official documentation,False,012,014,How NC Birth Control works; Natural Cycles Instructions for Use / User Manual,"Red/Green status makes the safety-critical daily decision visually simple, but users must understand the conditions."
NC-ADD-DATA-014,14,Add Data,Add Data,All modes,Official screenshot,True,013,015,How to make the most of the app: App tour; What data does the algorithm use?; What Trackers are available?,"Natural Cycles separates algorithm-relevant data from personal trackers, which clarifies what affects the output."
NC-CALENDAR-GRAPH-015,15,Calendar + Graph,Calendar + Graph,All modes,Official screenshot,True,014,016,How to make the most of the app: App tour,Calendar and graph views turn daily data into a longitudinal cycle story.
NC-CYCLE-INSIGHTS-TRENDS-016,16,Cycle Insights + Trends,Cycle Insights + Trends,All modes,Official screenshot,True,015,017,What is Cycle Insights?; How to make the most of the app: App tour,Cycle Insights converts repeated daily logging into longer-term self-knowledge.
NC-TRACKERS-PERSONAL-PATTERNS-017,17,Trackers + Personal Patterns,Trackers + Personal Patterns,All modes,Official documentation,False,016,018,What Trackers are available?,Optional trackers broaden the product from fertility status to personal pattern discovery.
NC-PARTNER-VIEW-018,18,Partner View,Partner View,All modes,Official documentation,False,017,019,What is Partner View?,Partner View extends the care context beyond the individual user without making the partner the primary account owner.
NC-SETTINGS-PRIVACY-DEVICE-MANAGEMENT-019,19,"Settings, Privacy + Device Management","Settings, Privacy & Device Management",All modes,Official documentation,False,018,020,Natural Cycles on Oura Ring; Natural Cycles with Apple Watch; Natural Cycles on Garmin; Natural Cycles Privacy Policy,Device management and privacy controls are core product infrastructure because the system depends on sensitive longitudinal data.
NC-ONI-COMPARISON-020,20,What ONI Can Learn From Natural Cycles,ONI Comparison,All modes,Official documentation,False,019,,Natural Cycles Birth Control; How NC Birth Control works; How to make the most of the app: App tour; What is Cycle Insights?; What is Partner View?,"ONI should borrow the product logic of clear daily guidance, not the contraception model itself."
