id,title,timestamp,previous,user_action,next,section,confidence,notes,free_premium
001,Imported Clue Screen 22,Manual,,Manual screenshot inserted before the recorded video sequence.,002,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
002,Imported Clue Screen 25,Manual,001,Manual screenshot inserted before the recorded video sequence.,003,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
003,Imported Clue Screen 25-1,Manual,002,Manual screenshot inserted before the recorded video sequence.,004,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
004,Imported Clue Screen 25-2,Manual,003,Manual screenshot inserted before the recorded video sequence.,005,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
005,Imported Clue Screen 25-3,Manual,004,Manual screenshot inserted before the recorded video sequence.,006,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
006,Imported Clue Screen 26,Manual,005,Manual screenshot inserted before the recorded video sequence.,007,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
007,Imported Clue Screen 26-1,Manual,006,Manual screenshot inserted before the recorded video sequence.,008,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
008,Imported Clue Screen 26-2,Manual,007,Manual screenshot inserted before the recorded video sequence.,009,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
009,Imported Clue Screen 27,Manual,008,Manual screenshot inserted before the recorded video sequence.,010,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
010,Imported Clue Screen 27-1,Manual,009,Manual screenshot inserted before the recorded video sequence.,011,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
011,Imported Clue Screen 28,Manual,010,Manual screenshot inserted before the recorded video sequence.,012,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
012,Imported Clue Screen 28-1,Manual,011,Manual screenshot inserted before the recorded video sequence.,013,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
013,Imported Clue Screen 29,Manual,012,Manual screenshot inserted before the recorded video sequence.,014,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
014,Imported Clue Screen 87,Manual,013,Manual screenshot inserted before the recorded video sequence.,015,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
015,Imported Clue Screen 87-1,Manual,014,Manual screenshot inserted before the recorded video sequence.,016,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
016,Imported Clue Screen 87-2,Manual,015,Manual screenshot inserted before the recorded video sequence.,017,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
017,Imported Clue Screen 87-3,Manual,016,Manual screenshot inserted before the recorded video sequence.,018,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
018,Imported Clue Screen 87-4,Manual,017,Manual screenshot inserted before the recorded video sequence.,019,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
019,Imported Clue Screen 88,Manual,018,Manual screenshot inserted before the recorded video sequence.,020,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
020,Imported Clue Screen 89,Manual,019,Manual screenshot inserted before the recorded video sequence.,021,App entry,High,"Inserted from the supplied OneDrive Clue screenshot series, sorted by image filename.",Not observed
